Major Code,Major Name Registrar,Major Name Web,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
DNCE,Major in Dance,,,OK,OK,OK,OK,OK,OK
DNCT,Major in Dance Education,,,OK,OK,OK,OK,OK,OK
FLMM,Major in Filmmaking,,,,,,OK,OK,OK
GRDS,Major in Graphic Design,,,OK,OK,OK,OK,OK,OK
UXUI,UX/UI Concentration,,,,,,,OK,OK
MUS,Major in Music BA,,,,,,,OK,OK
MUSC,Major in Music BA,,,OK,OK,OK,OK,,
MUSC,Major in Music BMU,,,OK,OK,OK,OK,OK,OK
INSP,Instrumental Performance Concentration,,,OK,OK,OK,OK,OK,OK
PIPR,Piano Performance Concentration,,,OK,OK,OK,OK,OK,OK
VOCP,Vocal Performance Concentration,,,OK,OK,OK,OK,OK,OK
MUST,Major in Music Education,,,OK,OK,OK,OK,OK,OK
SCHV,Secondary Choral Concentration,,,OK,OK,OK,OK,OK,OK
SINS,Secondary Instrumental Concentration,,,OK,OK,OK,OK,OK,OK
MUTH,Major in Musical Theatre,,,,,OK,OK,OK,OK
PFLM,Pre-Filmmaking,,,,,,,,OK
STDA,Major in Studio Arts,,,OK,OK,OK,OK,OK,OK
CERC,Ceramics Concentration,,,OK,OK,OK,OK,OK,OK
CERM,Ceramics and Sculpture Concentration,,,,,,,,
ILL,Illustration Concentration,,,OK,OK,OK,OK,OK,OK
PAIN,Painting/Drawing/Printmaking Concentration,,,OK,OK,OK,OK,OK,OK
PHTO,Photography Concentration,,,OK,OK,OK,OK,OK,OK
TA,Major in Theatre Arts BA/BS,,,OK,OK,OK,OK,OK,OK
TA,Major in Theatre Arts BFA,,,OK,OK,,,,
CLAC,Classical Acting Concentration,,,OK,OK,,,,
MUT,Musical Theatre Concentration,,,OK,OK,,,,
TDT,Theatre Design & Technology Concentration,,,OK,OK,,,,
TACT,Major in Acting,,,,,OK,OK,OK,OK
TAT,Major in Theatre Arts Education,,,OK,OK,OK,OK,OK,OK
TDP,Major in Theatre Design & Production,,,,,OK,OK,OK,OK
BIOL,Major in Biology,,,OK,OK,OK,OK,OK,OK
BIOT,Major in Biology Education,,,OK,OK,OK,OK,OK,OK
BSED,Major in Biological Sciences Education,,,,,,,,OK
CHEM,Major in Chemistry,,,OK,OK,OK,OK,OK,OK
FRCH,Forensic Chemistry Concentration,,,OK,,,,,
HC,Health Care Concentration,,,OK,OK,OK,OK,OK,OK
LAB,Laboratory Science Concentration,,,,,OK,OK,OK,OK
PROF,Professional Concentration,,,OK,OK,OK,OK,OK,OK
CHET,Major in Chemistry Teacher Education,,,,,,,OK,
CHME,Major in Chemistry Education,,,OK,OK,OK,OK,,OK
ENSC,Major in Environmental Science,,,,,,OK,OK,OK
ESTD,Major in Environmental Studies,,,,,,OK,OK,OK
GEO,Major in Geosciences,,,OK,OK,OK,OK,OK,OK
GEOL,Major in Geology,,,OK,OK,OK,OK,OK,OK
GSPC,Major in Geospatial Science,,,,,,OK,OK,OK
PHSE,Major in Physics Education,,,,,,,,OK
PSTE,Major in Physical Science Education,,,OK,OK,OK,OK,OK,
